video_id,source_url,duration_sec,source_platform,hotel_name,hotel_chain,city,country,room_type,bed_visible,bathroom_visible,wall_object_visible,desk_visible,window_visible,video_quality,camera_rotations ,notes
video_01,https://www.youtube.com/watch?v=PMiV4nygFJI,392,Youtube,Holiday Inn Express & Suites Roanoke – Civic Center by IHG,IHG (InterContinental Hotels Group),Virginia,USA,double queen,yes,yes,yes,yes,yes,High,smooth,"the price of the hotel for one night is $117. Youtube video from DieselDucy
"
video_02,https://www.youtube.com/watch?v=_onOWw7c3yE,466,Youtube,Hyatt House Seattle,Hyatt,Seattle,USA, suite with two queen beds ,yes,yes,yes,yes(kittchen table and bedside table),yes,High,smooth,Youtube from DieselDucy
video_03,https://www.youtube.com/watch?v=hWRreppl7-c,238,Youtube,Excalibur Hotel & Casino,MGM Resorts,Las Vegas,USA,two queen standard,yes,yes,yes,yes,yes,High,smooth,Youtube from Seeking Paradise Together
video_04,https://www.youtube.com/watch?v=9cQiaUJ0Saw&list=PLD38E2F224AEDD989,430,Youtube,The Century House Latham,Choice Hotels International.,Albany,USA,two queen standard,yes,yes,yes,yes,yes,High,smooth,"Youtube from DieselDucy
the hotel was about $110"
video_05,https://www.youtube.com/watch?v=uLOTOOtSD1E,,Youtube, Disney's Grand Californian Hotel & Spa,Disney Resorts,Anaheim,USA, two queen standard with balcony,yes,yes,yes,yes,yes,High,smooth,"craftsman themed, Disney deluxe resort, balcony, extensive detail"
video_06,https://www.youtube.com/watch?v=RX7wMDFtWnU,939,Youtube,Holiday Inn Express Bristol - Filton by IHG,Holiday Inn Express,Bristol,UK,King room with sofa bed,yes,yes,yes,yes,yes,High,smooth,A little bit of disruption of her hands movement to make a sound(she is trying to do ASMR)
video_07,https://www.youtube.com/watch?v=nbALIpzxgKk,55,Youtube,Adaman Hotel,N/A,Changsha,China,twin-size bed room,yes,yes,yes,yes(just a bit),yes(but not outside),Medium,smooth,room tour 2:49-3:44. Hotel info:https://us.trip.com/hotels/v2/changsha-hotel-detail-122735927/chang-sha-a-da-man-jiu-dian/. 
video_08,https://www.youtube.com/watch?v=ZZsGEOcyTr4,,Youtube,Conrad Seoul,Hilton,Seoul,South Korea,1 king bed premium,yes,yes,yes,yes,yes,High,smooth,516 square ft. Window facing Hang river. 1:16-4:04
video_09,https://www.youtube.com/watch?v=Gk3Ssa2RVmI,,Youtube,Grand Mercure Hanoi,Accor,Hanoi,Vitenam,Delux King Room,yes,yes,yes,yes,yes,High,smooth,"room tour starts from 2:13 -7:14. bathroom and bedroom is divided by glass. But, toilet and shower have doors for privacy."
video_10,https://www.youtube.com/watch?v=Zr_68XSzrAY,,Youtube,Upper House Hong Kong, Swire Hotels,Hong Kong ,Hong Kong, Studio 70 Harbour View,yes,yes,yes,yes,yes,High,smooth(horizontal view), I think room size(68 sq m/70sq ft) 
video_11,https://www.youtube.com/watch?v=gZt2YgFGu1U&t=160s,,Youtube,Boutique Hotel Glacier,N/A,Grindelwald,Switzerland,Signature Room Sunrise (King),yes,yes,yes,yes,yes,High,smooth(horizontal view),The room is approximately 28 square meters (300 square feet)
video_12,https://www.youtube.com/watch?v=YKyF5Mi1sAA,,Youtube,Inntel Hotels Amsterdam Zaandam,Inntel Hotels ,Zaandam,Netherland,Taste Deluxe Room,yes,yes,yes,yes(small desk near by the window),yes,High,smooth(horizontal view),I used Google AI search to identify which room is exactly they found out it is Taste Deluxe Room(
video_13,https://www.youtube.com/watch?v=0PRGVJHd7jg,,Youtube,Pearl Continental Hotel Rawalpindi(PC Hotels),Pearl-Continental Hotels & Resorts,"Rawalpindi
",Pakistan,Deluxe Room,yes,yes,yes,yes,yes,Medium,not really smooth( a lot of movement of camera),the room type looks delux room
video_14,https://www.youtube.com/watch?v=-s-73MrA2vQ,,Youtube,Hotel Indonesia Kempinski Jakarta,Kempinski Hotels,Jakarta,indonesia,King room with sofa bed,yes,yes,yes,yes,yes,High,smooth,room tour starts at 4:39 and ends at 8:37
video_15,https://www.youtube.com/watch?v=OkP11eKQazk,,Youtube,,,,UK,,,,,,,,,
video_16,https://www.youtube.com/watch?v=rhGqZC4zQdI,,Youtube,,,,UK,,,,,,,,,
video_17,https://www.youtube.com/watch?v=0KeX6CvOofI,,Youtube,,,,UK,,,,,,,,,
video_18,https://www.youtube.com/watch?v=DpfvZB8uJv4,,Youtube,,,,UK,,,,,,,,,
video_19,https://www.youtube.com/watch?v=XNycnAJqkmI,,Youtube,,,,China,,,,,,,,,
video_20,https://www.youtube.com/watch?v=J6Fv59Qm8mM,,Youtube,,,,China,,,,,,,,,
